[2026-06-30 14:23:39] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 2ms
[2026-06-30 14:23:39] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 18ms
[2026-06-30 14:23:39] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 1ms
[2026-06-30 14:23:39] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 16ms
[2026-06-30 14:23:39] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 1ms
[2026-06-30 14:23:39] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 18ms
[2026-06-30 14:23:39] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 204ms
[2026-06-30 14:23:39] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 3ms
[2026-06-30 14:23:39] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 18ms
[2026-06-30 14:23:39] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 32ms
[2026-06-30 14:23:39] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 1ms
[2026-06-30 14:23:39] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 15ms
[2026-06-30 14:23:39] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 34ms
[2026-06-30 14:23:39] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 2ms
[2026-06-30 14:23:39] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 18ms
[2026-06-30 14:23:39] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 32ms
[2026-06-30 14:23:39] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 23ms
[2026-06-30 14:23:39] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 284ms
[2026-06-30 14:23:39] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 54ms
[2026-06-30 14:23:39] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 35ms
[2026-06-30 14:23:40] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 53ms
[2026-06-30 14:23:40] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 16ms
[2026-06-30 14:23:40] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 35ms
[2026-06-30 14:23:40] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 50ms
[2026-06-30 14:23:40] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 35ms
[2026-06-30 14:23:40] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 53ms
[2026-06-30 14:23:40] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 17ms
[2026-06-30 14:23:40] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 34ms
[2026-06-30 14:23:40] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 48ms
[2026-06-30 14:23:40] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 32ms
[2026-06-30 14:23:40] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 50ms
[2026-06-30 14:23:40] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 17ms
[2026-06-30 14:23:40] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 33ms
[2026-06-30 14:23:40] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 47ms
[2026-06-30 14:23:40] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 33ms
[2026-06-30 14:23:40] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 461ms
[2026-06-30 14:23:40] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 67ms
[2026-06-30 14:23:40] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 35ms
[2026-06-30 14:23:40] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 52ms
[2026-06-30 14:23:40] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 68ms
[2026-06-30 14:23:40] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 36ms
[2026-06-30 14:23:40] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 52ms
[2026-06-30 14:23:40] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 69ms
[2026-06-30 14:23:40] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 38ms
[2026-06-30 14:23:40] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 56ms
[2026-06-30 14:23:40] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 71ms
[2026-06-30 14:23:40] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 35ms
[2026-06-30 14:23:40] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 570ms
[2026-06-30 14:23:40] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 68ms
[2026-06-30 14:23:40] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 87ms
[2026-06-30 14:23:40] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 57ms
[2026-06-30 14:23:40] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 74ms
[2026-06-30 14:23:40] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 91ms
[2026-06-30 14:23:40] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 37ms
[2026-06-30 14:23:40] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 626ms
[2026-06-30 14:23:40] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 67ms
[2026-06-30 14:23:40] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 79ms
[2026-06-30 14:23:40] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 90ms
[2026-06-30 14:23:40] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 52ms
[2026-06-30 14:23:40] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 64ms
[2026-06-30 14:23:40] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 74ms
