[2026-07-09 10:04:39] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 180ms
[2026-07-09 10:14:01] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 169ms
[2026-07-09 10:14:01] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 106ms
[2026-07-09 10:14:01] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 163ms
[2026-07-09 10:14:01] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 5ms
[2026-07-09 10:14:01] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 33ms
[2026-07-09 10:14:01] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 49ms
[2026-07-09 10:14:01] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 3ms
[2026-07-09 10:14:02] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 303ms
[2026-07-09 10:14:02] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 347ms
[2026-07-09 10:14:02] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 3ms
[2026-07-09 10:14:02] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 18ms
[2026-07-09 10:14:02] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 45ms
[2026-07-09 10:14:02] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 3ms
[2026-07-09 10:14:02] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 16ms
[2026-07-09 10:14:02] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 30ms
[2026-07-09 10:14:02] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 709ms
[2026-07-09 10:14:02] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 17ms
[2026-07-09 10:14:02] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 534ms
[2026-07-09 10:14:02] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 615ms
[2026-07-09 10:14:02] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 194ms
[2026-07-09 10:14:02] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 219ms
[2026-07-09 10:14:02] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 241ms
[2026-07-09 10:14:03] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 254ms
[2026-07-09 10:14:04] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 178ms
[2026-07-09 10:14:46] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 301ms
[2026-07-09 10:14:47] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 221ms
[2026-07-09 10:14:47] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 740ms
[2026-07-09 10:15:23] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 11ms
[2026-07-09 10:15:23] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 19ms
[2026-07-09 10:15:23] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 3ms
[2026-07-09 10:15:23] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 2ms
[2026-07-09 10:15:23] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 24ms
[2026-07-09 10:15:23] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 1ms
[2026-07-09 10:15:23] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 22ms
[2026-07-09 10:15:23] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 2ms
[2026-07-09 10:15:23] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 31ms
[2026-07-09 10:15:23] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 4ms
[2026-07-09 10:15:23] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 61ms
[2026-07-09 10:15:23] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 436ms
[2026-07-09 10:15:23] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 513ms
[2026-07-09 10:15:24] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 299ms
[2026-07-09 10:15:33] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 255ms
[2026-07-09 10:15:34] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 203ms
[2026-07-09 10:16:27] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 11ms
[2026-07-09 10:16:27] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 26ms
[2026-07-09 10:16:27] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 2ms
[2026-07-09 10:16:27] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 1ms
[2026-07-09 10:16:28] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 20ms
[2026-07-09 10:16:28] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 2ms
[2026-07-09 10:16:28] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 30ms
[2026-07-09 10:16:28] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 2ms
[2026-07-09 10:16:28] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 37ms
[2026-07-09 10:16:28] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 1ms
[2026-07-09 10:16:28] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 31ms
[2026-07-09 10:16:28] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 175ms
[2026-07-09 10:16:29] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 229ms
[2026-07-09 10:16:30] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 193ms
[2026-07-09 10:17:10] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 221ms
[2026-07-09 10:17:11] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 146ms
[2026-07-09 10:17:47] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 13ms
[2026-07-09 10:17:47] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 33ms
[2026-07-09 10:17:47] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 44ms
[2026-07-09 10:17:47] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 2ms
[2026-07-09 10:17:47] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 20ms
[2026-07-09 10:17:47] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 1ms
[2026-07-09 10:17:47] ACTION: get_bancos | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 22ms
[2026-07-09 10:17:47] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 41ms
[2026-07-09 10:17:47] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 4ms
[2026-07-09 10:17:47] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 18ms
[2026-07-09 10:17:47] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 38ms
[2026-07-09 10:17:47] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 1ms
[2026-07-09 10:17:47] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 23ms
[2026-07-09 10:17:47] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 68ms
[2026-07-09 10:17:47] ACTION: get_empresa | PARAMS: {} | STATUS: OK | ROWS: 1 | TIME: 1ms
[2026-07-09 10:17:47] ACTION: get_monedas | PARAMS: {} | STATUS: OK | ROWS: 3 | TIME: 243ms
[2026-07-09 10:17:57] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 216ms
[2026-07-09 10:17:57] ACTION: get_clientes | PARAMS: {} | STATUS: OK | ROWS: 25000 | TIME: 166ms
[2026-07-09 13:18:47] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 126ms
[2026-07-09 13:18:47] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 182ms
[2026-07-09 13:18:47] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 196ms
[2026-07-09 13:18:47] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 90ms
[2026-07-09 13:18:47] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 349ms
[2026-07-09 13:18:47] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 241ms
[2026-07-09 13:18:47] ACTION: get_cuentas_cobrar_by_client | PARAMS: {"IdCliente":"CLI-000001"} | STATUS: OK | ROWS: 2 | TIME: 253ms
